"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"C1,C2,C3,C4,C5,C6,C7,C8","8","0.1uF","","","","Capacitor_SMD:C_0603_1608Metric_Pad1.08x0.95mm_HandSolder","https://yageogroup.com/content/datasheet/asset/file/KEM_C1002_X7R_SMD"
"C9,C10","2","1uF","","","","Capacitor_SMD:C_0603_1608Metric_Pad1.08x0.95mm_HandSolder","https://yageogroup.com/content/datasheet/asset/file/KEM_C1002_X7R_SMD"
"H1,H2,H3,H4","4","MountingHole","","Excluded from BOM","","MountingHole:MountingHole_3.2mm_M3_ISO14580","~"
"J1,J2","2","S5B-XH-A","","","","Connector_JST:JST_XH_S5B-XH-A_1x05_P2.50mm_Horizontal","https://www.jst-mfg.com/product/pdf/eng/eXH.pdf"
"J3","1","PPTC051LGBN-RC","","","","Connector_PinHeader_2.54mm:PinHeader_1x05_P2.54mm_Horizontal","https://mm.digikey.com/Volume0/opasdata/d220001/medias/docus/937/Female_Headers.100_DS.pdf"
"J5","1","PPTC061LGBN-RC","","","","Connector_PinHeader_2.54mm:PinHeader_1x06_P2.54mm_Horizontal","https://mm.digikey.com/Volume0/opasdata/d220001/medias/docus/937/Female_Headers.100_DS.pdf"
"J6","1","PRPC006SGAN-M71RC","","","","Connector_PinHeader_2.54mm:PinHeader_1x06_P2.54mm_Vertical","https://mm.digikey.com/Volume0/opasdata/d220001/medias/docus/2610/x%20RxCxxxSxxN-M71RC_%2011637-B.pdf"
"J7,J8","2","S3B-XH-A","","","","Connector_JST:JST_XH_S3B-XH-A_1x03_P2.50mm_Horizontal","https://www.jst-mfg.com/product/pdf/eng/eXH.pdf"
"J9","1","PRPC005SGAN-M71RC","","","","Connector_PinHeader_2.54mm:PinHeader_1x05_P2.54mm_Vertical","https://mm.digikey.com/Volume0/opasdata/d220001/medias/docus/2610/x%20RxCxxxSxxN-M71RC_%2011637-B.pdf"
"U1","1","CD74HCT164E","","","","Package_DIP:DIP-14_W7.62mm_LongPads","https://www.ti.com/lit/ds/symlink/cd74hct164.pdf?HQS=dis-dk-null-digikeymode-dsf-pf-null-wwe&ts=1776353192534&ref_url=https%253A%252F%252Fwww.ti.com%252Fgeneral%252Fdocs%252Fsuppproductinfo.tsp%253FdistId%253D10%2526gotoUrl%253Dhttps%253A%252F%252Fwww.ti.com%252Flit%252Fgpn%252Fcd74hct164"
"U2,U3","2","CD4042BE","","","","Package_DIP:DIP-16_W7.62mm_LongPads","https://www.ti.com/lit/ds/symlink/cd4042b.pdf?HQS=dis-dk-null-digikeymode-dsf-pf-null-wwe&ts=1776353213483&ref_url=https%253A%252F%252Fwww.ti.com%252Fgeneral%252Fdocs%252Fsuppproductinfo.tsp%253FdistId%253D10%2526gotoUrl%253Dhttps%253A%252F%252Fwww.ti.com%252Flit%252Fgpn%252Fcd4042b"
"U4","1","SN74HC00N","","","","Package_DIP:DIP-14_W7.62mm_LongPads","https://www.ti.com/lit/ds/symlink/sn74hc00.pdf?HQS=dis-dk-null-digikeymode-dsf-pf-null-wwe&ts=1776325175776&ref_url=https%253A%252F%252Fwww.ti.com%252Fgeneral%252Fdocs%252Fsuppproductinfo.tsp%253FdistId%253D10%2526gotoUrl%253Dhttps%253A%252F%252Fwww.ti.com%252Flit%252Fgpn%252Fsn74hc00"
"U5","1","CD4081BE","","","","Package_DIP:DIP-14_W7.62mm_LongPads","https://www.ti.com/general/docs/suppproductinfo.tsp?distId=10&gotoUrl=https%3A%2F%2Fwww.ti.com%2Flit%2Fgpn%2Fcd4073b"
"U6,U7","2","DRV5032FALPGM","","","Excluded from board","Package_TO_SOT_THT:TO-92_Inline","https://www.ti.com/lit/ds/symlink/drv5032.pdf"
"U8,U9","2","ULN2003A","","","","Package_DIP:DIP-16_W7.62mm_LongPads","https://www.ti.com/lit/ds/symlink/uln2003a.pdf?ts=1776318646684&ref_url=https%253A%252F%252Fwww.ti.com%252Fproduct%252FULN2003A%253Futm_source%253Dgoogle%2526utm_medium%253Dcpc%2526utm_campaign%253Dapp-null-null-GPN_EN-cpc-pf-google-eu_en_cons%2526utm_content%253DULN2003A%2526ds_k%253DULN2003A+Datasheet%2526DCM%253Dyes%2526gclsrc%253Daw.ds%2526gad_source%253D1%2526gad_campaignid%253D8753988867%2526gbraid%253D0AAAAAC068F0HcmGY6pReiUMbBYxaLbjCi%2526gclid%253DEAIaIQobChMI5f7BxNbxkwMVh5GDBx0cVS_GEAAYASAAEgJlO_D_BwE"
"U10","1","TC74HC04APF","","","","Package_DIP:DIP-14_W7.62mm_LongPads","https://mm.digikey.com/Volume0/opasdata/d220001/medias/docus/889/TC74HC04.pdf"
